WeekBeginning,Location,DateofSample,Noofbedsbeingsampled
2019-09-30,Carlingford,2019-10-01,4
2019-09-30,Foyle,2019-10-02,1
2019-10-07,Belfast ,2019-10-07,3
2019-10-07,Dundrum N,2019-10-07,2
2019-10-07,Larne,2019-10-08,1
2019-10-14,Skate Rock,2019-10-14,1
2019-10-14,Paddys Point,2019-10-15,2
2019-10-21,Belfast ,2019-10-21,3
2019-10-21,Dundrum S,2019-10-21,2
2019-10-21,Killough,2019-10-21,1
2019-10-28,Carlingford,2019-10-30,4
2019-11-04,Belfast ,2019-11-04,3
2019-11-04,Dundrum N,2019-11-04,2
2019-11-04,Larne,2019-11-05,1
2019-11-04,Foyle,2019-11-05,2
2019-11-18,Belfast ,2019-11-18,1
2019-11-18,Killough,2019-11-18,1
2019-11-18,Dundrum S,2019-11-18,2
2019-11-18,Skate Rock,2019-11-18,1
2019-11-18,Paddys Point,2019-11-19,2
2019-11-25,Carlingford,2019-11-26,4
2019-12-02,Belfast ,2019-12-02,3
2019-12-02,Dundrum N,2019-12-02,2
2019-12-02,Larne,2019-12-03,1
2019-12-02,Foyle,2019-12-03,2
2019-12-09,Paddys Point,2019-12-09,2
2019-12-09,Skate Rock,2019-12-10,1
2019-12-16,Belfast ,2019-12-16,4
2019-12-16,Killough,2019-12-17,1
2019-12-16,Dundrum S,2019-12-17,2
2019-12-16,Carlingford,2019-12-18,4
2020-01-06,Belfast ,2020-01-06,3
2020-01-06,Dundrum N,2020-01-06,2
2020-01-06,Larne,2020-01-07,2
2020-01-06,Foyle,2020-01-07,2
2020-01-06,Skate Rock,2020-01-07,1
2020-01-06,Paddys Point,2020-01-07,1
2020-01-20,Belfast ,2020-01-20,3
2020-01-20,Killough,2020-01-20,1
2020-01-20,Dundrum S,2020-01-20,1
2020-01-27,Carlingford,2020-01-28,4
2019-02-03,Belfast ,2020-02-03,3
2020-02-03,Dundrum N,2020-02-03,2
2020-02-03,Paddys Point,2020-02-03,1
2020-02-03,Larne,2020-02-04,1
2020-02-03,Skate Rock,2020-02-03,1
2020-02-03,Foyle,2020-02-04,2
2020-02-17,Belfast ,2020-02-17,3
2020-02-17,Killough,2020-02-17,1
2020-02-24,Carlingford,2020-02-25,4
2020-03-02,Belfast ,2020-03-02,3
2020-03-02,Dundrum N,2020-03-02,2
2020-03-02,Paddys Point,2020-03-02,1
2020-03-02,Larne,2020-03-03,1
2020-03-02,Skate Rock,2020-03-02,1
2020-03-02,Foyle,2020-03-03,2
2020-03-16,Belfast ,2020-03-16,3
2020-03-16,Killough,2020-03-16,1
2020-03-23,Carlingford,2020-03-23,4
2020-03-30,Dundrum N,2020-03-30,2
